pelvis_tx_mean,pelvis_tx_var,pelvis_ty_mean,pelvis_ty_var,pelvis_tilt_mean,pelvis_tilt_var,hip_flexion_r_mean,hip_flexion_r_var,knee_angle_r_mean,knee_angle_r_var,ankle_angle_r_mean,ankle_angle_r_var,hip_flexion_l_mean,hip_flexion_l_var,knee_angle_l_mean,knee_angle_l_var,ankle_angle_l_mean,ankle_angle_l_var
0.0993547856189394,0.008735525902443647,0.9917987853535362,1.364171359281577e-05,0.015909936232575764,0.0002795521694537097,0.40431859090909056,0.0006074681125851704,-0.12612368585858588,0.006419757226032377,0.0997742048737374,0.0010399550071851654,-0.27341116010101024,0.0007853298459075996,0.016903476173232325,0.0003917388922350369,0.31964081060606075,0.0002765596471080692
0.09985830467477806,0.008734910369104194,0.9891165587695133,1.4589731638000202e-05,0.015530241948056318,0.00026612468632767564,0.39206257239057224,0.0005656236233663685,-0.0699955937627181,0.005983122640685136,0.11018146603688399,0.0009790281249627106,-0.28546282101316206,0.0007994572747961469,0.010743309384205696,0.0003983227585759821,0.3292670096163658,0.0002881231392171276
0.10082803822637994,0.008712027585367065,0.9868417643862871,1.405311273376063e-05,0.017984056803606773,0.0002469437987852446,0.3769990801193759,0.0006050727390240363,-0.025117534845541273,0.00557464298220992,0.12067826781578417,0.0009110597151142021,-0.3001882341342722,0.0008911876361807944,0.002331548967564535,0.00042492590222009035,0.3382671888327723,0.00030830508752339395
0.10218828334374035,0.008715833340005679,0.9848556998010407,1.5018820721070983e-05,0.021931629353420582,0.0002163941846714772,0.3615299609733701,0.000552530229235243,0.006313864389478349,0.005049903920459236,0.13109319230410157,0.0008427333355405615,-0.3159212413529234,0.0008237152440518584,-0.007950018404629625,0.00046564747498897813,0.34607733142026326,0.0003110412952413795
0.10345966724594434,0.008730430450505327,0.982916644194471,1.593323177745494e-05,0.02432207186815122,0.00021043081914650917,0.3508965253800634,0.0005361841098673191,0.0209617547915566,0.004580262200673658,0.14061351455540247,0.0008133527788718042,-0.3282850329303134,0.0007872896007316722,-0.02065082855811909,0.0005601546711118785,0.35182724637792095,0.000321077974696938
0.10473455723171109,0.008725519126642546,0.9812001473063982,1.6037429163447126e-05,0.026080913290171925,0.0002053183862817476,0.34453652017651254,0.0005179083039317862,0.01769622762560198,0.004205895947274122,0.14608021764794413,0.000847004732883809,-0.33821994964799473,0.0007705562542114559,-0.03615388063916947,0.0007233185070924634,0.35556716605448435,0.0003396002452393641
0.10584573814318947,0.008719819824069663,0.9797755889194995,1.5753069038023253e-05,0.02673463391881695,0.00020680398732317418,0.34277934626568685,0.0005168223673919751,6.17108473752671e-05,0.0039453910108591984,0.1415283163353228,0.0009408797877122641,-0.34449774594429167,0.00080029386163083,-0.055440260802877186,0.0009774403649417211,0.3570166094276093,0.0003818619636231441
0.10686290541939596,0.00872467625384353,0.9786885415518826,1.592378970931534e-05,0.026430504897145716,0.00021659413139636004,0.3433286277675745,0.0005533514828141763,-0.022255932807402314,0.003728219720170818,0.12578033734057753,0.000999227913983962,-0.34721835858585853,0.0008189598396095996,-0.07863269715054595,0.0013767570443854737,0.3558840959595958,0.00050112530860592
0.10797722887654836,0.008725084883243294,0.9780259242679314,1.659488940581176e-05,0.026332801770528012,0.0002289718111026711,0.3419011135598412,0.0006579982200180504,-0.039888428440715225,0.003585800820666323,0.102667186647536,0.0010883404442698357,-0.348123543898582,0.0008498179447001684,-0.10527381565401492,0.0019823970345505043,0.351461181325885,0.0008263701559132696
0.10936689943526176,0.008723685370993784,0.9778266202938469,1.773547984613961e-05,0.02732642870886367,0.0002328016836777992,0.33559189072543594,0.00084831301971696,-0.049460404887098255,0.0036484938189362192,0.07455656389439852,0.0012622469797042093,-0.34860541276400364,0.000944784668986985,-0.13487824249770422,0.0028508897475258053,0.34346734522497696,0.001479597188982686
0.11101470312008971,0.00873087569861441,0.9779831594990306,1.8790809075807966e-05,0.02900097381950311,0.00023555669046233465,0.3253260092847669,0.0010754898842416623,-0.053752676191791596,0.003847140611732435,0.04199377337715536,0.0014410784366043667,-0.3485574310478522,0.001182294066937484,-0.16672094499744924,0.003968757681175768,0.33147606992143686,0.0024582697657810977
0.11299788386038169,0.008724268869335798,0.9785183785072946,2.014755754519097e-05,0.031774782957996635,0.00023296845087681612,0.313597573849607,0.001329242692377029,-0.05938987080246909,0.004062984894134208,0.011296191791526357,0.0013699537451304377,-0.3484389317620649,0.0014172141413769071,-0.20067354988776645,0.005212010747040122,0.3148792379349046,0.0037599232904714512
0.11514233907078363,0.008720038016107776,0.9794570655035199,2.117112541355627e-05,0.03474804003710591,0.00023550680598144951,0.30404595332108986,0.0015726531599872767,-0.07084478204973982,0.004190808821965646,-0.0075885961947505425,0.0011001892844236518,-0.34611898359504156,0.001823612876490062,-0.23766903989898996,0.006419119994092658,0.29302183264462806,0.004485104981013946
0.11732662010016831,0.00872188913343713,0.9808658036424849,2.131304905584248e-05,0.038028517831754434,0.0002341656676970908,0.29528385016835024,0.0017548673304763733,-0.0860762891248852,0.004353890531712903,-0.011477973632983881,0.0009095218581292533,-0.34039828748342005,0.002481261503462543,-0.279401992842567,0.007523577075760705,0.26519982843587386,0.004086552730650953
0.11931189133300169,0.008725481838597034,0.9826982052596666,2.1568738626484802e-05,0.04092055596983728,0.00024728181142629174,0.28546181494235284,0.0020386206339299833,-0.10044437273237428,0.004662931376873975,-0.0052929091557238975,0.000832021999308402,-0.3297586695490256,0.0031008903398010114,-0.32637868532037556,0.0083322078738014,0.2298110334175083,0.003552234171676658
0.12105773778627199,0.00871987444740916,0.9848859185032143,2.1636733405554197e-05,0.04305172402229799,0.0002381543024727954,0.27384943370217335,0.002355150077280382,-0.11148062592592596,0.005049546098246191,0.00541771422287267,0.0007905196215450928,-0.31322967936945173,0.003590711045090285,-0.37847383415977975,0.008871724480963116,0.18504692376186102,0.0034968333355139825
0.12261887566980416,0.008726712633471882,0.987413742602796,2.1115634258710657e-05,0.045131341199126644,0.00024891640185442464,0.25957639053667986,0.0026459656933587603,-0.1188248297673707,0.005440954141557217,0.0173162932725921,0.0007724383283090636,-0.2914213636108557,0.004119607371665273,-0.43534861449086876,0.009243197974977977,0.1302872806233548,0.003972462944081029
0.12393542044605137,0.008736336944617581,0.9901568244566878,2.016687414225648e-05,0.04685832955846342,0.0002544100546057462,0.24294468544536266,0.002949924552689647,-0.12188377325017849,0.005804362286348245,0.02898514548622081,0.0007956870114885437,-0.2640373764156719,0.004502474532554032,-0.4963006737016632,0.009471417291831263,0.0671987166587846,0.00477055295231647
0.1249616052222223,0.008733803625779116,0.9929336427915524,1.9016094329285006e-05,0.04807062542699728,0.0002497989803737259,0.22437543898071607,0.00333314485191895,-0.12057866873278227,0.0061715456528630835,0.04034923916108815,0.0008473421854931794,-0.23128513296602388,0.004517949919393561,-0.5607549030532599,0.00961398461852969,-0.0012041405859665242,0.0057351336650448125
0.12561363917970098,0.008750611327349637,0.9955913076726866,1.602899116012809e-05,0.048623736454570944,0.00025725122466899457,0.20479896716151394,0.003461393148617011,-0.11565671879910211,0.0065478063024342024,0.05127147102629835,0.0008818885417049692,-0.19364300038261384,0.005037141351359232,-0.6279342636924801,0.009905100599804149,-0.07280170147777917,0.006859141317178499
0.12607362580315787,0.00875939188098009,0.998155873482298,1.3934954556366844e-05,0.04992673649474542,0.00030429351893082834,0.18330852032190587,0.003717824989819575,-0.10863196092898685,0.006951267603659158,0.06145727359333239,0.0009326794154139327,-0.15423398672125282,0.005062945016674689,-0.6959008113100701,0.010296332524844333,-0.14659257286909522,0.008118017142822396
0.12637326999028162,0.008769039462848436,1.000589104453628,1.235745111471439e-05,0.05219856648454233,0.0003623928397386152,0.16058703419038886,0.0040624160446819015,-0.10113761203627183,0.007339089079131845,0.07105515533494035,0.0009848529136802391,-0.1149349230915213,0.004801798937150488,-0.7615591825221922,0.010889250895322536,-0.22113702492118156,0.009410734477879892
0.12674575345286196,0.008763745863186631,1.0029810648148143,1.1226047489844431e-05,0.05668246394219975,0.0004051945314662197,0.13604923824354673,0.004414287950080933,-0.09513597509539828,0.007566505398506638,0.08047989059175084,0.0010254070692961063,-0.07877169961419747,0.004495164000624111,-0.8225549378787884,0.011882431973304707,-0.29161789116442216,0.010165563393088653
0.12678626364353124,0.008752616700217134,1.0051579110039792,1.0321682650642403e-05,0.059930443462401756,0.0003635214540698347,0.11376220852974168,0.004543757116227819,-0.0900190567834915,0.007688686318762646,0.09011026145385678,0.0010837200350829977,-0.04232049071639108,0.004086760802752388,-0.878268609366391,0.013694244492308764,-0.3452631063320074,0.009715683375792965
0.12614997272352302,0.00874753755330857,1.0069963691460067,1.019814449458522e-05,0.05949925522436479,0.0003058804619405096,0.09664308802035514,0.004768615016976584,-0.08518808005165299,0.0076375765189382805,0.09967967941574833,0.001141073773113218,-0.0020149865803795086,0.0038990200607229093,-0.9301410059840842,0.01627984246122931,-0.36985391987297256,0.008736596697030715
0.12465425339092949,0.008762270773760399,1.0084397329099073,1.1494207785949901e-05,0.054305272197326865,0.0003644778623237103,0.08542553631588608,0.004873302607093392,-0.07942031267291612,0.0075039239597673914,0.10878889873719524,0.0011737717143099824,0.04331038179839312,0.004145817279955975,-0.9769848218243028,0.019150851521409128,-0.36426041183297614,0.0081099445205497
0.12280006616694722,0.008776203316087586,1.009700319304152,1.3400959999844967e-05,0.04750157511493731,0.00041176972665340675,0.07593750650540752,0.004883915197204322,-0.07277507713468011,0.007332083743700352,0.11724337850910624,0.0011944884551577308,0.08902454636353438,0.004275806105819033,-1.0167308943523619,0.021727852326554387,-0.33715774110039787,0.007782115068190556
0.1208496403753443,0.008761011287941885,1.0108874717630851,1.5110133100400621e-05,0.04063904613466481,0.000368323724690034,0.06645720382185491,0.004799057240811852,-0.06579561464669414,0.007129227887342471,0.12479543869628094,0.0012197583619730737,0.13304540892102856,0.0040707645562307005,-1.0489679880165288,0.023422478585759316,-0.2984362067952248,0.007413516911244263
0.11893073944928319,0.008758110649674326,1.0120376655443322,1.7241073637187876e-05,0.0344986014563284,0.00032598742454038713,0.05635572891608002,0.004611277447733317,-0.059181158154377085,0.006884728311034654,0.13172364922525764,0.0011966136505456445,0.17445940773543547,0.0038451328645273865,-1.0743222614962757,0.023606032274442617,-0.25461425677736954,0.006834323637318986
0.11738528834295486,0.008756078436911133,1.0132724611774304,1.9179943226905148e-05,0.031205066918304252,0.00028006045567333316,0.04378435981669726,0.004460702327066033,-0.05471820175630805,0.00653223924342026,0.1388601023289715,0.0010903875318574708,0.21043019669523524,0.0037662621956868585,-1.0928054526349344,0.023158667715215187,-0.20977108797316593,0.005901911479049588
0.11586460284970922,0.008749368481383609,1.014442595117845,1.9913770066814478e-05,0.028806896209672462,0.00027444490446954444,0.031293056715702455,0.004337552220766714,-0.052240442949058725,0.0061758693907445995,0.14605265054797986,0.0009340121343978145,0.24369365201254972,0.0038182966032464646,-1.1045892455159936,0.022875342679534946,-0.1668112377869604,0.00482950722129277
0.11419587130435664,0.008735557757089148,1.0154391235843279,2.044923053219602e-05,0.026127078035659623,0.00027845367407973475,0.020225388921247818,0.004186959844139837,-0.051278914698066475,0.005889271416250565,0.15304595796502904,0.0007100841179388359,0.27589703600652987,0.004027043877074046,-1.1099540122880316,0.022786938604808345,-0.12857472724642888,0.0038618544225650256
0.112282278506581,0.00873686654579525,1.0162117486225897,1.9235722235955596e-05,0.02292475107037548,0.00032694056555827215,0.010920951776678373,0.00406752638908521,-0.051845235564330176,0.0059051798879217925,0.1595641105534893,0.0004937407260190452,0.30782751754922977,0.004470876946204095,-1.1099196782642073,0.02215428048867949,-0.09615496728086412,0.0031493138711120756
0.1105371563686868,0.008755093183851823,1.016927801346801,1.78523134195717e-05,0.021141920542087533,0.0004143562891991689,0.0007417601782827888,0.004015373171530143,-0.05394665081481486,0.006307663681157154,0.16607355677525246,0.0004436268105571576,0.3359073434343436,0.0049041731307681415,-1.1032832651430964,0.021507662731984373,-0.06950196903872041,0.0026268089044118367
0.10938783311029494,0.008808789794886243,1.0177348189215383,1.6714398188290083e-05,0.022797186723375194,0.000511877982443208,-0.012997572945041414,0.00395058892794153,-0.05768166704428631,0.007142819805722549,0.17320951989794395,0.0007784748752286193,0.35668494283746544,0.005334970360535831,-1.089277787904295,0.020966144303126082,-0.047280363111391624,0.002279301605562887
0.10895730936480966,0.008828089862530352,1.0186463081828376,1.5039669782513172e-05,0.02818766209916336,0.0005667192023610975,-0.0309265406104735,0.0040213246293478964,-0.06276365700216308,0.00812653095764449,0.18166918577545663,0.0015633595458751772,0.369506093995511,0.005608206957892872,-1.068027476424344,0.020460113912346742,-0.027742659828639802,0.0020657275243577402
0.10787541862947653,0.008772060621470165,1.0190401558769515,1.2441781321661905e-05,0.02973541685169879,0.0004871635411618381,-0.043859966196281,0.003923760715581463,-0.06725248884297524,0.00912680434275109,0.19076169820179073,0.002320349488556848,0.3853233624885214,0.00571192317311309,-1.040868210137741,0.019795647171587837,-0.008960948813911818,0.00193952973230264
0.10536185905693295,0.00873428330852521,1.0185620112488516,1.0331807944249586e-05,0.02347135703521321,0.0005147293406257974,-0.046723052816115634,0.004058819629445154,-0.0705467960986124,0.010103442183356424,0.19973079194125581,0.0025139964617039313,0.4100887059075605,0.006296876300144753,-1.0088972878425664,0.019089163908350342,0.00953111241995975,0.0018004763112358742
0.10235734780619325,0.008747976928155233,1.0176030768544033,8.48741356224067e-06,0.01419857881326648,0.00046442063604511166,-0.04603208036759006,0.004122819777785351,-0.07275287983062952,0.010777264476541074,0.20897993639748497,0.0021534811524890197,0.43645735902561,0.006767136112976515,-0.9711289874247528,0.0183305025906704,0.027056401718750723,0.0016411638038821995
0.10009107941188394,0.008764660355786645,1.0166991680440778,7.0877279597122906e-06,0.008520377476668176,0.00038702446295610447,-0.050069461460514185,0.004261782198020929,-0.07543215189011328,0.010943050611460498,0.2194454146436335,0.0016909366535390955,0.4546361692959903,0.0071125819482053395,-0.9268609338307312,0.017549995830801534,0.042385163085399524,0.0014703522126163725
0.09834826424978824,0.00877707633658631,1.0157241465156612,5.967149498427499e-06,0.005188842996431476,0.00029452658948587405,-0.05728670135830535,0.004611959327412412,-0.07823689348127748,0.010769346503218582,0.23068152526913072,0.0014087515106216704,0.46652923581522304,0.0072025393596661024,-0.8766842270329552,0.01645744562572543,0.055415634365319905,0.0013104604434020814
0.09718474292929298,0.00880584152691034,1.0146666272574225,5.57672500754844e-06,0.004157228554820936,0.00027998583985275056,-0.06744103659830636,0.005117915173402636,-0.08138445994337316,0.010163321465438606,0.24228350509675017,0.001268523303955449,0.47255029157739004,0.007419542467806175,-0.8212557737807363,0.015294651507200673,0.06568055955121939,0.0011837441984318096
0.09636225615656564,0.00880342856633484,1.0134259649525557,5.249773996981492e-06,0.003946645342998168,0.00027359099300051703,-0.07882538132920114,0.005613270435434011,-0.08429491684113867,0.009275313612178593,0.2537889778034128,0.0011998250665694874,0.47480197310223465,0.007686559100584393,-0.7608255905417809,0.014061557449579196,0.07322143280456075,0.001106092151188481
0.09557660153866952,0.0087662423570925,1.011911973905724,4.996895129441074e-06,0.003279189957825727,0.0002441340431390351,-0.08999568344939288,0.005955870407028074,-0.08670601274869914,0.008058355442461564,0.26500284466475355,0.001147787708621236,0.4747676418350166,0.007848689466072426,-0.6954841914728089,0.012799337283846718,0.07802918154269974,0.0010745644068856253
0.09455147713299661,0.008761459188115982,1.010007693602694,5.321374509687231e-06,0.0008014143469640717,0.0002587836219540994,-0.0991159585774412,0.0063932278793006675,-0.0888038031144781,0.006703281678000965,0.27576151803002247,0.0011254757138388306,0.4742362302104376,0.007992421061508841,-0.6256195560606055,0.011572186474070814,0.08014368914141418,0.0010754329589775357
0.09354792102043161,0.008747582594124162,1.007826116850321,5.618913496676564e-06,-0.0022770308747130453,0.000279813199542125,-0.1079197258976125,0.006624968131050237,-0.09047700160697887,0.005227530948177581,0.28653942618709816,0.0011245374437721491,0.47116947777777773,0.008260978110917833,-0.5508697905876953,0.010501336132872657,0.08015636566574837,0.0011229000516972832
0.09306538217403833,0.008758903185605243,1.0055784016426892,5.589385973184957e-06,-0.0033768406811225853,0.00029896634711510045,-0.1199744271936538,0.006980229144875103,-0.09156783992704837,0.003851894266410312,0.297925005594404,0.001167809251506383,0.46198470982297696,0.008382744430243744,-0.4713615745842252,0.009469510761782436,0.07893196490383635,0.0011800915981913765
0.09325209002140086,0.008765501169856667,1.0033216065197437,5.500374530414623e-06,-0.0017988537435389134,0.0002862574063378111,-0.13629389372513023,0.007239067062220987,-0.09190609437047231,0.00264502518619358,0.3098597229411541,0.0012484806752520283,0.4462866566676864,0.008422199781884208,-0.3885600885442809,0.008440691289026725,0.0774454080088766,0.001231819595523881
0.09356949274112329,0.008774310031548643,1.00082488207836,5.955478252795006e-06,-0.00034620814757422723,0.00026903012970819846,-0.15292663352464034,0.007337318779982613,-0.09182332008723604,0.0017478355062371493,0.32145464727188555,0.0013162995271694304,0.42881829912763997,0.00845242953014839,-0.30505527231404944,0.007362925261522728,0.07644199447199265,0.0012755171229496287
